text;processed;tokenized;lemmatized
Расходы томского фонда ОМС в 2019г увеличатся на 1,1 млрд руб;расходы томского фонда омс в 2019г увеличатся на 1 1 млрд руб;['расходы', 'томского', 'фонда', 'омс', 'в', '2019', 'г', 'увеличатся', 'на', '1', '1', 'млрд', 'руб'];['расход', 'томский', 'фонд', 'омс', 'в', '2019', 'г', 'увеличиться', 'на', '1', '1', 'млрд', 'руб']
Депутаты продлили мораторий на закон о предельном госдолге Томской области;депутаты продлили мораторий на закон о предельном госдолге томской области;['депутаты', 'продлили', 'мораторий', 'на', 'закон', 'о', 'предельном', 'госдолге', 'томской', 'области'];['депутат', 'продлить', 'мораторий', 'на', 'закон', 'о', 'предельный', 'госдолг', 'томский', 'область']
Бюджет Томской области на 2019г принят с дефицитом в 3,8 млрд руб;бюджет томской области на 2019г принят с дефицитом в 3 8 млрд руб;['бюджет', 'томской', 'области', 'на', '2019', 'г', 'принят', 'с', 'дефицитом', 'в', '3', '8', 'млрд', 'руб'];['бюджет', 'томский', 'область', 'на', '2019', 'г', 'принять', 'с', 'дефицит', 'в', '3', '8', 'млрд', 'руб']
Более 500 млн руб выделит федерация на реабилитацию рек и озер Томской области;более 500 млн руб выделит федерация на реабилитацию рек и озер томской области;['более', '500', 'млн', 'руб', 'выделит', 'федерация', 'на', 'реабилитацию', 'рек', 'и', 'озер', 'томской', 'области'];['более', '500', 'млн', 'руб', 'выделить', 'федерация', 'на', 'реабилитация', 'река', 'и', 'озеро', 'томский', 'область']
Томичи задолжали по налогу на имущество более 641 млн руб;томичи задолжали по налогу на имущество более 641 млн руб;['томичи', 'задолжали', 'по', 'налогу', 'на', 'имущество', 'более', '641', 'млн', 'руб'];['томич', 'задолжать', 'по', 'налог', 'на', 'имущество', 'более', '641', 'млн', 'руб']
ЦБ: задолженность жителей Томской области по кредитам составляет 103,4 млрд руб;цб задолженность жителей томской области по кредитам составляет 103 4 млрд руб;['цб', 'задолженность', 'жителей', 'томской', 'области', 'по', 'кредитам', 'составляет', '103', '4', 'млрд', 'руб'];['цб', 'задолженность', 'житель', 'томский', 'область', 'по', 'кредит', 'составлять', '103', '4', 'млрд', 'руб']
«Томскводоканал» пояснил, для чего необходимо увеличение тарифа на воду;томскводоканал пояснил для чего необходимо увеличение тарифа на воду;['томскводоканал', 'пояснил', 'для', 'чего', 'необходимо', 'увеличение', 'тарифа', 'на', 'воду'];['томскводоканал', 'пояснить', 'для', 'что', 'необходимый', 'увеличение', 'тариф', 'на', 'вода']
Дорожный фонд Томской области в 2019г вырастет до 5,4 млрд руб;дорожный фонд томской области в 2019г вырастет до 5 4 млрд руб;['дорожный', 'фонд', 'томской', 'области', 'в', '2019', 'г', 'вырастет', 'до', '5', '4', 'млрд', 'руб'];['дорожный', 'фонд', 'томский', 'область', 'в', '2019', 'г', 'вырасти', 'до', '5', '4', 'млрд', 'руб']
Банки в 2018г выдали населению и бизнесу Томской области кредиты на 236 млрд руб;банки в 2018г выдали населению и бизнесу томской области кредиты на 236 млрд руб;['банки', 'в', '2018', 'г', 'выдали', 'населению', 'и', 'бизнесу', 'томской', 'области', 'кредиты', 'на', '236', 'млрд', 'руб'];['банк', 'в', '2018', 'г', 'выдать', 'население', 'и', 'бизнес', 'томский', 'область', 'кредит', 'на', '236', 'млрд', 'руб']
Мэрия Томска выплатила более 20 млн руб по облигациям займа двух серий;мэрия томска выплатила более 20 млн руб по облигациям займа двух серий;['мэрия', 'томска', 'выплатила', 'более', '20', 'млн', 'руб', 'по', 'облигациям', 'займа', 'двух', 'серий'];['мэрия', 'томск', 'выплатить', 'более', '20', 'млн', 'руб', 'по', 'облигация', 'заём', 'два', 'серия']
Цены на огурцы, помидоры и ползунки сильнее всего выросли в ноябре;цены на огурцы помидоры и ползунки сильнее всего выросли в ноябре;['цены', 'на', 'огурцы', 'помидоры', 'и', 'ползунки', 'сильнее', 'всего', 'выросли', 'в', 'ноябре'];['цена', 'на', 'огурец', 'помидор', 'и', 'ползунки', 'сильный', 'всего', 'вырасти', 'в', 'ноябрь']
Томский электротехнический завод вложил в модернизацию производства 143 млн руб;томский электротехнический завод вложил в модернизацию производства 143 млн руб;['томский', 'электротехнический', 'завод', 'вложил', 'в', 'модернизацию', 'производства', '143', 'млн', 'руб'];['томский', 'электротехнический', 'завод', 'вложить', 'в', 'модернизация', 'производство', '143', 'млн', 'руб']
Природный газ подорожает в Томской области более чем на 100 руб с 2019г;природный газ подорожает в томской области более чем на 100 руб с 2019г;['природный', 'газ', 'подорожает', 'в', 'томской', 'области', 'более', 'чем', 'на', '100', 'руб', 'с', '2019', 'г'];['природный', 'газ', 'подорожать', 'в', 'томский', 'область', 'более', 'чем', 'на', '100', 'руб', 'с', '2019', 'г']
Жители Томской области оформили более 9 тыс ипотек с начала 2018г;жители томской области оформили более 9 тыс ипотек с начала 2018г;['жители', 'томской', 'области', 'оформили', 'более', '9', 'тыс', 'ипотек', 'с', 'начала', '2018', 'г'];['житель', 'томский', 'область', 'оформить', 'более', '9', 'тыс', 'ипотека', 'с', 'начало', '2018', 'г']
Томская область хочет привлечь в бюджет 300 млн руб за счет облигаций займа;томская область хочет привлечь в бюджет 300 млн руб за счет облигаций займа;['томская', 'область', 'хочет', 'привлечь', 'в', 'бюджет', '300', 'млн', 'руб', 'за', 'счет', 'облигаций', 'займа'];['томский', 'область', 'хотеть', 'привлечь', 'в', 'бюджет', '300', 'млн', 'руб', 'за', 'счёт', 'облигация', 'заём']
Минимальная зарплата в Томской области в 2019г увеличится до 14,6 тыс руб;минимальная зарплата в томской области в 2019г увеличится до 14 6 тыс руб;['минимальная', 'зарплата', 'в', 'томской', 'области', 'в', '2019', 'г', 'увеличится', 'до', '14', '6', 'тыс', 'руб'];['минимальный', 'зарплата', 'в', 'томский', 'область', 'в', '2019', 'г', 'увеличиться', 'до', '14', '6', 'тыс', 'руб']
Дума утвердила бюджет Томска на 2019г с дефицитом 706,4 млн руб;дума утвердила бюджет томска на 2019г с дефицитом 706 4 млн руб;['дума', 'утвердила', 'бюджет', 'томска', 'на', '2019', 'г', 'с', 'дефицитом', '706', '4', 'млн', 'руб'];['дума', 'утвердить', 'бюджет', 'томск', 'на', '2019', 'г', 'с', 'дефицит', '706', '4', 'млн', 'руб']
Исследование: в Томской области одна из самых высоких зарплат по Сибири;исследование в томской области одна из самых высоких зарплат по сибири;['исследование', 'в', 'томской', 'области', 'одна', 'из', 'самых', 'высоких', 'зарплат', 'по', 'сибири'];['исследование', 'в', 'томский', 'область', 'одна', 'из', 'самых', 'высокий', 'зарплата', 'по', 'сибирь']
Конкурсный управляющий требует с экс-владельцев «Северной группы» более 300 млн;конкурсный управляющий требует с экс владельцев северной группы более 300 млн;['конкурсный', 'управляющий', 'требует', 'с', 'экс', 'владельцев', 'северной', 'группы', 'более', '300', 'млн'];['конкурсный', 'управляющий', 'требовать', 'с', 'экс', 'владелец', 'северный', 'группа', 'более', '300', 'млн']
Депутаты продлили мораторий на утверждение бюджета Томска без дефицита;депутаты продлили мораторий на утверждение бюджета томска без дефицита;['депутаты', 'продлили', 'мораторий', 'на', 'утверждение', 'бюджета', 'томска', 'без', 'дефицита'];['депутат', 'продлить', 'мораторий', 'на', 'утверждение', 'бюджет', 'томск', 'без', 'дефицит']
«Ярче» и «Томсккабель» вошли в 50 самых быстрорастущих компаний РФ по версии РБК;ярче и томсккабель вошли в 50 самых быстрорастущих компаний рф по версии рбк;['ярче', 'и', 'томсккабель', 'вошли', 'в', '50', 'самых', 'быстрорастущих', 'компаний', 'рф', 'по', 'версии', 'рбк'];['яркий', 'и', 'томсккабель', 'войти', 'в', '50', 'самых', 'быстрорастущий', 'компания', 'рф', 'по', 'версия', 'рбк']
Дума увеличила бюджет Томской области 2018г на 382 млн руб;дума увеличила бюджет томской области 2018г на 382 млн руб;['дума', 'увеличила', 'бюджет', 'томской', 'области', '2018', 'г', 'на', '382', 'млн', 'руб'];['дума', 'увеличить', 'бюджет', 'томский', 'область', '2018', 'г', 'на', '382', 'млн', 'руб']
Цену трудового патента для иностранцев в Томской области подняли на 300 руб;цену трудового патента для иностранцев в томской области подняли на 300 руб;['цену', 'трудового', 'патента', 'для', 'иностранцев', 'в', 'томской', 'области', 'подняли', 'на', '300', 'руб'];['цена', 'трудовой', 'патент', 'для', 'иностранец', 'в', 'томский', 'область', 'поднять', 'на', '300', 'руб']
Депутаты в первом чтении приняли бюджет Томской области на 2019г;депутаты в первом чтении приняли бюджет томской области на 2019г;['депутаты', 'в', 'первом', 'чтении', 'приняли', 'бюджет', 'томской', 'области', 'на', '2019', 'г'];['депутат', 'в', 'первый', 'чтение', 'принять', 'бюджет', 'томский', 'область', 'на', '2019', 'г']
Исследование: рост реальных доходов жителей Томской области не предвидится в 2019г;исследование рост реальных доходов жителей томской области не предвидится в 2019г;['исследование', 'рост', 'реальных', 'доходов', 'жителей', 'томской', 'области', 'не', 'предвидится', 'в', '2019', 'г'];['исследование', 'рост', 'реальный', 'доход', 'житель', 'томский', 'область', 'не', 'предвидеться', 'в', '2019', 'г']
Число коррупционных дел выросло в Томской области в 2018г;число коррупционных дел выросло в томской области в 2018г;['число', 'коррупционных', 'дел', 'выросло', 'в', 'томской', 'области', 'в', '2018', 'г'];['число', 'коррупционный', 'дело', 'вырасти', 'в', 'томский', 'область', 'в', '2018', 'г']
Жители Томской области с начала 2018г оформили жилищные кредиты на 14 млрд руб;жители томской области с начала 2018г оформили жилищные кредиты на 14 млрд руб;['жители', 'томской', 'области', 'с', 'начала', '2018', 'г', 'оформили', 'жилищные', 'кредиты', 'на', '14', 'млрд', 'руб'];['житель', 'томский', 'область', 'с', 'начало', '2018', 'г', 'оформить', 'жилищный', 'кредит', 'на', '14', 'млрд', 'руб']
Эксперты ВТБ рассказали о практике работы с госзакупками;эксперты втб рассказали о практике работы с госзакупками;['эксперты', 'втб', 'рассказали', 'о', 'практике', 'работы', 'с', 'госзакупками'];['эксперт', 'втб', 'рассказать', 'о', 'практика', 'работа', 'с', 'госзакупками']
Администрация Томска планирует привлечь кредиты на 1 млрд руб;администрация томска планирует привлечь кредиты на 1 млрд руб;['администрация', 'томска', 'планирует', 'привлечь', 'кредиты', 'на', '1', 'млрд', 'руб'];['администрация', 'томск', 'планировать', 'привлечь', 'кредит', 'на', '1', 'млрд', 'руб']
Около 3 млрд руб вложит инвестор в освоение залежей полиметаллов в Томском районе;около 3 млрд руб вложит инвестор в освоение залежей полиметаллов в томском районе;['около', '3', 'млрд', 'руб', 'вложит', 'инвестор', 'в', 'освоение', 'залежей', 'полиметаллов', 'в', 'томском', 'районе'];['около', '3', 'млрд', 'руб', 'вложить', 'инвестор', 'в', 'освоение', 'залежь', 'полиметалл', 'в', 'томский', 'район']
УФАС: оснований для повышения цен на хлеб в Томской области нет;уфас оснований для повышения цен на хлеб в томской области нет;['уфас', 'оснований', 'для', 'повышения', 'цен', 'на', 'хлеб', 'в', 'томской', 'области', 'нет'];['уфас', 'основание', 'для', 'повышение', 'цена', 'на', 'хлеб', 'в', 'томский', 'область', 'нет']
Публичные слушания по проекту бюджета Томска на 2019г пройдут 21 ноября;публичные слушания по проекту бюджета томска на 2019г пройдут 21 ноября;['публичные', 'слушания', 'по', 'проекту', 'бюджета', 'томска', 'на', '2019', 'г', 'пройдут', '21', 'ноября'];['публичный', 'слушание', 'по', 'проект', 'бюджет', 'томск', 'на', '2019', 'г', 'пройти', '21', 'ноябрь']
Томичи смогут обменять накопившиеся монеты на купюры;томичи смогут обменять накопившиеся монеты на купюры;['томичи', 'смогут', 'обменять', 'накопившиеся', 'монеты', 'на', 'купюры'];['томич', 'смочь', 'обменять', 'накопившиеся', 'монета', 'на', 'купюра']
Мэрия Томска назвала стоимость реконструкции ул.Континентальной;мэрия томска назвала стоимость реконструкции ул континентальной;['мэрия', 'томска', 'назвала', 'стоимость', 'реконструкции', 'ул', 'континентальной'];['мэрия', 'томск', 'назвать', 'стоимость', 'реконструкция', 'ул', 'континентальный']
ВТБ открыл первые счета томскому бизнесу в рамках 44-ФЗ;втб открыл первые счета томскому бизнесу в рамках 44 фз;['втб', 'открыл', 'первые', 'счета', 'томскому', 'бизнесу', 'в', 'рамках', '44', 'фз'];['втб', 'открыть', 'первый', 'счёт', 'томский', 'бизнес', 'в', 'рамка', '44', 'фз']
Жители Томской области оплатили менее 40% имущественных налогов;жители томской области оплатили менее 40 имущественных налогов;['жители', 'томской', 'области', 'оплатили', 'менее', '40', 'имущественных', 'налогов'];['житель', 'томский', 'область', 'оплатить', 'менее', '40', 'имущественный', 'налог']
Томская область увеличит финансовую помощь районам в 2019г;томская область увеличит финансовую помощь районам в 2019г;['томская', 'область', 'увеличит', 'финансовую', 'помощь', 'районам', 'в', '2019', 'г'];['томский', 'область', 'увеличить', 'финансовый', 'помощь', 'район', 'в', '2019', 'г']
Томская область в 2019г получит почти 5 млрд на выравнивание бюджетной обеспеченности;томская область в 2019г получит почти 5 млрд на выравнивание бюджетной обеспеченности;['томская', 'область', 'в', '2019', 'г', 'получит', 'почти', '5', 'млрд', 'на', 'выравнивание', 'бюджетной', 'обеспеченности'];['томский', 'область', 'в', '2019', 'г', 'получить', 'почти', '5', 'млрд', 'на', 'выравнивание', 'бюджетный', 'обеспеченность']
Прожиточный минимум в Томской области за квартал вырос на 75 руб;прожиточный минимум в томской области за квартал вырос на 75 руб;['прожиточный', 'минимум', 'в', 'томской', 'области', 'за', 'квартал', 'вырос', 'на', '75', 'руб'];['прожиточный', 'минимум', 'в', 'томский', 'область', 'за', 'квартал', 'вырасти', 'на', '75', 'руб']
Цены на квартиры в новостройках Томска выросли на 5,3%;цены на квартиры в новостройках томска выросли на 5 3;['цены', 'на', 'квартиры', 'в', 'новостройках', 'томска', 'выросли', 'на', '5', '3'];['цена', 'на', 'квартира', 'в', 'новостройка', 'томск', 'вырасти', 'на', '5', '3']
Более 200 миллионов рублей направят на повышение зарплат томских бюджетников;более 200 миллионов рублей направят на повышение зарплат томских бюджетников;['более', '200', 'миллионов', 'рублей', 'направят', 'на', 'повышение', 'зарплат', 'томских', 'бюджетников'];['более', '200', 'миллион', 'рубль', 'направить', 'на', 'повышение', 'зарплата', 'томский', 'бюджетник']
Томские производители хотят повысить цены на хлеб;томские производители хотят повысить цены на хлеб;['томские', 'производители', 'хотят', 'повысить', 'цены', 'на', 'хлеб'];['томский', 'производитель', 'хотеть', 'повысить', 'цена', 'на', 'хлеб']
Заммэра Томска: муниципальный долг вырастет до 6 млрд руб к 2022г;заммэра томска муниципальный долг вырастет до 6 млрд руб к 2022г;['заммэра', 'томска', 'муниципальный', 'долг', 'вырастет', 'до', '6', 'млрд', 'руб', 'к', '2022', 'г'];['заммэра', 'томск', 'муниципальный', 'долг', 'вырасти', 'до', '6', 'млрд', 'руб', 'к', '2022', 'г']
Бюджет Томска на 2019г спроектирован с предельным дефицитом;бюджет томска на 2019г спроектирован с предельным дефицитом;['бюджет', 'томска', 'на', '2019', 'г', 'спроектирован', 'с', 'предельным', 'дефицитом'];['бюджет', 'томск', 'на', '2019', 'г', 'спроектировать', 'с', 'предельный', 'дефицит']
Реальные доходы жителей Томской области за год упали на 1,1%;реальные доходы жителей томской области за год упали на 1 1;['реальные', 'доходы', 'жителей', 'томской', 'области', 'за', 'год', 'упали', 'на', '1', '1'];['реальный', 'доход', 'житель', 'томский', 'область', 'за', 'год', 'упасть', 'на', '1', '1']
Семинар по работе со специальными счетами в рамках 44-ФЗ;семинар по работе со специальными счетами в рамках 44 фз;['семинар', 'по', 'работе', 'со', 'специальными', 'счетами', 'в', 'рамках', '44', 'фз'];['семинар', 'по', 'работа', 'со', 'специальный', 'счёт', 'в', 'рамка', '44', 'фз']
ЦБ в Томске прояснил нюансы нового закона о временной блокировке карт;цб в томске прояснил нюансы нового закона о временной блокировке карт;['цб', 'в', 'томске', 'прояснил', 'нюансы', 'нового', 'закона', 'о', 'временной', 'блокировке', 'карт'];['цб', 'в', 'томск', 'прояснить', 'нюанс', 'новый', 'закон', 'о', 'временной', 'блокировка', 'карта']
Инвестиции в основной капитал в Томской области падают 7 год подряд;инвестиции в основной капитал в томской области падают 7 год подряд;['инвестиции', 'в', 'основной', 'капитал', 'в', 'томской', 'области', 'падают', '7', 'год', 'подряд'];['инвестиция', 'в', 'основной', 'капитал', 'в', 'томский', 'область', 'падать', '7', 'год', 'подряд']
Депутаты увеличили субсидию из горбюджета томскому ТТУ до 296 млн руб;депутаты увеличили субсидию из горбюджета томскому тту до 296 млн руб;['депутаты', 'увеличили', 'субсидию', 'из', 'горбюджета', 'томскому', 'тту', 'до', '296', 'млн', 'руб'];['депутат', 'увеличить', 'субсидия', 'из', 'горбюджета', 'томский', 'тту', 'до', '296', 'млн', 'руб']
Бюджет Томской области на 2019г сформирован с дефицитом почти в 1 млрд руб;бюджет томской области на 2019г сформирован с дефицитом почти в 1 млрд руб;['бюджет', 'томской', 'области', 'на', '2019', 'г', 'сформирован', 'с', 'дефицитом', 'почти', 'в', '1', 'млрд', 'руб'];['бюджет', 'томский', 'область', 'на', '2019', 'г', 'сформировать', 'с', 'дефицит', 'почти', 'в', '1', 'млрд', 'руб']
ВТБ на четверть увеличил число миноритарных акционеров в Сибири;втб на четверть увеличил число миноритарных акционеров в сибири;['втб', 'на', 'четверть', 'увеличил', 'число', 'миноритарных', 'акционеров', 'в', 'сибири'];['втб', 'на', 'четверть', 'увеличить', 'число', 'миноритарный', 'акционер', 'в', 'сибирь']
Средний размер потребкредита в Томской области вырос на 29%;средний размер потребкредита в томской области вырос на 29;['средний', 'размер', 'потребкредита', 'в', 'томской', 'области', 'вырос', 'на', '29'];['средний', 'размер', 'потребкредита', 'в', 'томский', 'область', 'вырасти', 'на', '29']
Более 15 млн руб матпомощи выплатили томичам с начала 2018г;более 15 млн руб матпомощи выплатили томичам с начала 2018г;['более', '15', 'млн', 'руб', 'матпомощи', 'выплатили', 'томичам', 'с', 'начала', '2018', 'г'];['более', '15', 'млн', 'руб', 'матпомощи', 'выплатить', 'томич', 'с', 'начало', '2018', 'г']
Власти хотят привлечь 300 млн руб в бюджет Томска за счет выпуска облигаций займа;власти хотят привлечь 300 млн руб в бюджет томска за счет выпуска облигаций займа;['власти', 'хотят', 'привлечь', '300', 'млн', 'руб', 'в', 'бюджет', 'томска', 'за', 'счет', 'выпуска', 'облигаций', 'займа'];['власть', 'хотеть', 'привлечь', '300', 'млн', 'руб', 'в', 'бюджет', 'томск', 'за', 'счёт', 'выпуск', 'облигация', 'заём']
Прогноз: реальная зарплата томичей к 2021г вырастет на 3%;прогноз реальная зарплата томичей к 2021г вырастет на 3;['прогноз', 'реальная', 'зарплата', 'томичей', 'к', '2021', 'г', 'вырастет', 'на', '3'];['прогноз', 'реальный', 'зарплата', 'томич', 'к', '2021', 'г', 'вырасти', 'на', '3']
В 2018г Томская область ожидает собрать в бюджет 21,1 млрд руб НДФЛ;в 2018г томская область ожидает собрать в бюджет 21 1 млрд руб ндфл;['в', '2018', 'г', 'томская', 'область', 'ожидает', 'собрать', 'в', 'бюджет', '21', '1', 'млрд', 'руб', 'ндфл'];['в', '2018', 'г', 'томский', 'область', 'ожидать', 'собрать', 'в', 'бюджет', '21', '1', 'млрд', 'руб', 'ндфл']
ВТБ в рамках ВЭФ-2018 подписал 4 соглашения о сотрудничестве с регионами;втб в рамках вэф 2018 подписал 4 соглашения о сотрудничестве с регионами;['втб', 'в', 'рамках', 'вэф', '2018', 'подписал', '4', 'соглашения', 'о', 'сотрудничестве', 'с', 'регионами'];['втб', 'в', 'рамка', 'вэф', '2018', 'подписать', '4', 'соглашение', 'о', 'сотрудничество', 'с', 'регион']
Средняя пенсия по старости увеличится на 400 руб в Томской области после индексации в 2019г;средняя пенсия по старости увеличится на 400 руб в томской области после индексации в 2019г;['средняя', 'пенсия', 'по', 'старости', 'увеличится', 'на', '400', 'руб', 'в', 'томской', 'области', 'после', 'индексации', 'в', '2019', 'г'];['средний', 'пенсия', 'по', 'старость', 'увеличиться', 'на', '400', 'руб', 'в', 'томский', 'область', 'после', 'индексация', 'в', '2019', 'г']
Временного руководителя назначили в торгово-промышленной палате Томска;временного руководителя назначили в торгово промышленной палате томска;['временного', 'руководителя', 'назначили', 'в', 'торгово', 'промышленной', 'палате', 'томска'];['временной', 'руководитель', 'назначить', 'в', 'торгово', 'промышленный', 'палата', 'томск']
Томскую область планируется включить в Южно-Сибирский макрорегион РФ;томскую область планируется включить в южно сибирский макрорегион рф;['томскую', 'область', 'планируется', 'включить', 'в', 'южно', 'сибирский', 'макрорегион', 'рф'];['томский', 'область', 'планироваться', 'включить', 'в', 'южно', 'сибирский', 'макрорегион', 'рф']
Исследование: семья в Томске сможет накопить на квартиру в новостройке за 4,5 года;исследование семья в томске сможет накопить на квартиру в новостройке за 4 5 года;['исследование', 'семья', 'в', 'томске', 'сможет', 'накопить', 'на', 'квартиру', 'в', 'новостройке', 'за', '4', '5', 'года'];['исследование', 'семья', 'в', 'томск', 'смочь', 'накопить', 'на', 'квартира', 'в', 'новостройка', 'за', '4', '5', 'год']
Томские власти изменят условия участия в «Губернаторской ипотеке»;томские власти изменят условия участия в губернаторской ипотеке;['томские', 'власти', 'изменят', 'условия', 'участия', 'в', 'губернаторской', 'ипотеке'];['томский', 'власть', 'изменить', 'условие', 'участие', 'в', 'губернаторский', 'ипотека']
Депутаты одобрили выделение из бюджета 59 млн для «Томскавтотранса»;депутаты одобрили выделение из бюджета 59 млн для томскавтотранса;['депутаты', 'одобрили', 'выделение', 'из', 'бюджета', '59', 'млн', 'для', 'томскавтотранса'];['депутат', 'одобрить', 'выделение', 'из', 'бюджет', '59', 'млн', 'для', 'томскавтотранс']
Банки Томской области в 2018г выдали жителям 38 млрд руб кредитов;банки томской области в 2018г выдали жителям 38 млрд руб кредитов;['банки', 'томской', 'области', 'в', '2018', 'г', 'выдали', 'жителям', '38', 'млрд', 'руб', 'кредитов'];['банк', 'томский', 'область', 'в', '2018', 'г', 'выдать', 'житель', '38', 'млрд', 'руб', 'кредит']
Жители Томской области в 2018г взяли в 1,7 раза больше ипотек, чем годом ранее;жители томской области в 2018г взяли в 1 7 раза больше ипотек чем годом ранее;['жители', 'томской', 'области', 'в', '2018', 'г', 'взяли', 'в', '1', '7', 'раза', 'больше', 'ипотек', 'чем', 'годом', 'ранее'];['житель', 'томский', 'область', 'в', '2018', 'г', 'взять', 'в', '1', '7', 'раз', 'больше', 'ипотека', 'чем', 'год', 'ранее']
Жители Томской области оформили микрозаймы на 203 млн руб с начала 2018г;жители томской области оформили микрозаймы на 203 млн руб с начала 2018г;['жители', 'томской', 'области', 'оформили', 'микрозаймы', 'на', '203', 'млн', 'руб', 'с', 'начала', '2018', 'г'];['житель', 'томский', 'область', 'оформить', 'микрозаймы', 'на', '203', 'млн', 'руб', 'с', 'начало', '2018', 'г']
Виталий Щуренков: «Зарплатные карты выгодны и работодателю, и сотрудникам»;виталий щуренков зарплатные карты выгодны и работодателю и сотрудникам;['виталий', 'щуренков', 'зарплатные', 'карты', 'выгодны', 'и', 'работодателю', 'и', 'сотрудникам'];['виталий', 'щуренков', 'зарплатный', 'карта', 'выгодный', 'и', 'работодатель', 'и', 'сотрудник']
Жители и компании Томской области заплатили более 150 млрд руб налогов за 7 месяцев 2018г;жители и компании томской области заплатили более 150 млрд руб налогов за 7 месяцев 2018г;['жители', 'и', 'компании', 'томской', 'области', 'заплатили', 'более', '150', 'млрд', 'руб', 'налогов', 'за', '7', 'месяцев', '2018', 'г'];['житель', 'и', 'компания', 'томский', 'область', 'заплатить', 'более', '150', 'млрд', 'руб', 'налог', 'за', '7', 'месяц', '2018', 'г']
ВТБ предлагает кредиты по льготной программе Министерства промышленности и торговли;втб предлагает кредиты по льготной программе министерства промышленности и торговли;['втб', 'предлагает', 'кредиты', 'по', 'льготной', 'программе', 'министерства', 'промышленности', 'и', 'торговли'];['втб', 'предлагать', 'кредит', 'по', 'льготный', 'программа', 'министерство', 'промышленность', 'и', 'торговля']
Кредитный портфель ВТБ по льготным программам для МСБ превысил 90 млрд рублей;кредитный портфель втб по льготным программам для мсб превысил 90 млрд рублей;['кредитный', 'портфель', 'втб', 'по', 'льготным', 'программам', 'для', 'мсб', 'превысил', '90', 'млрд', 'рублей'];['кредитный', 'портфель', 'втб', 'по', 'льготный', 'программа', 'для', 'мсб', 'превысить', '90', 'млрд', 'рубль']
ВТБ в Томске нарастил корпоративный кредитный портфель на 35%;втб в томске нарастил корпоративный кредитный портфель на 35;['втб', 'в', 'томске', 'нарастил', 'корпоративный', 'кредитный', 'портфель', 'на', '35'];['втб', 'в', 'томск', 'нарастить', 'корпоративный', 'кредитный', 'портфель', 'на', '35']
Томский холдинг KDV вошел в топ-5 крупнейших поставщиков еды в РФ;томский холдинг вошел в топ 5 крупнейших поставщиков еды в рф;['томский', 'холдинг', 'вошел', 'в', 'топ', '5', 'крупнейших', 'поставщиков', 'еды', 'в', 'рф'];['томский', 'холдинг', 'войти', 'в', 'топ', '5', 'крупный', 'поставщик', 'еда', 'в', 'рф']
Томская область стала 6-й среди 12 регионов Сибири по потенциалу развития;томская область стала 6 й среди 12 регионов сибири по потенциалу развития;['томская', 'область', 'стала', '6', 'й', 'среди', '12', 'регионов', 'сибири', 'по', 'потенциалу', 'развития'];['томский', 'область', 'стать', '6', 'й', 'среди', '12', 'регион', 'сибирь', 'по', 'потенциал', 'развитие']
За полгода жители Томской области взяли 9,2 млрд руб ипотеки;за полгода жители томской области взяли 9 2 млрд руб ипотеки;['за', 'полгода', 'жители', 'томской', 'области', 'взяли', '9', '2', 'млрд', 'руб', 'ипотеки'];['за', 'полгода', 'житель', 'томский', 'область', 'взять', '9', '2', 'млрд', 'руб', 'ипотека']
Прожиточный минимум в Томской области вырос на 356 руб;прожиточный минимум в томской области вырос на 356 руб;['прожиточный', 'минимум', 'в', 'томской', 'области', 'вырос', 'на', '356', 'руб'];['прожиточный', 'минимум', 'в', 'томский', 'область', 'вырасти', 'на', '356', 'руб']
Губернатор поручил внедрить безналичный расчет в общественном транспорте Томска;губернатор поручил внедрить безналичный расчет в общественном транспорте томска;['губернатор', 'поручил', 'внедрить', 'безналичный', 'расчет', 'в', 'общественном', 'транспорте', 'томска'];['губернатор', 'поручить', 'внедрить', 'безналичный', 'расчёт', 'в', 'общественный', 'транспорт', 'томск']
План по собственным доходам бюджета Томска перевыполнен на 5,5%;план по собственным доходам бюджета томска перевыполнен на 5 5;['план', 'по', 'собственным', 'доходам', 'бюджета', 'томска', 'перевыполнен', 'на', '5', '5'];['план', 'по', 'собственный', 'доход', 'бюджет', 'томск', 'перевыполнить', 'на', '5', '5']
В 2018г более 500 жителей Томской области устроились на общественные работы;в 2018г более 500 жителей томской области устроились на общественные работы;['в', '2018', 'г', 'более', '500', 'жителей', 'томской', 'области', 'устроились', 'на', 'общественные', 'работы'];['в', '2018', 'г', 'более', '500', 'житель', 'томский', 'область', 'устроиться', 'на', 'общественный', 'работа']
СХК за полгода заплатил 471 млн руб налогов;схк за полгода заплатил 471 млн руб налогов;['схк', 'за', 'полгода', 'заплатил', '471', 'млн', 'руб', 'налогов'];['схк', 'за', 'полгода', 'заплатить', '471', 'млн', 'руб', 'налог']
Чистая прибыль «Томской генерации» за полгода выросла на 12,5%;чистая прибыль томской генерации за полгода выросла на 12 5;['чистая', 'прибыль', 'томской', 'генерации', 'за', 'полгода', 'выросла', 'на', '12', '5'];['чистый', 'прибыль', 'томский', 'генерация', 'за', 'полгода', 'вырасти', 'на', '12', '5']
