text;processed;tokenized;lemmatized
Томск наращивает дефицит бюджета из-за нехватки денег. Есть риски введения внешнего управления;томск наращивает дефицит бюджета из за нехватки денег есть риски введения внешнего управления;['томск', 'наращивает', 'дефицит', 'бюджета', 'из', 'за', 'нехватки', 'денег', 'есть', 'риски', 'введения', 'внешнего', 'управления'];['томск', 'наращивать', 'дефицит', 'бюджет', 'из', 'за', 'нехватка', 'деньга', 'быть', 'риск', 'введение', 'внешний', 'управление']
В томских магазинах появились яйца по 40 руб за десяток. Почему цены снижаются?;в томских магазинах появились яйца по 40 руб за десяток почему цены снижаются;['в', 'томских', 'магазинах', 'появились', 'яйца', 'по', '40', 'руб', 'за', 'десяток', 'почему', 'цены', 'снижаются'];['в', 'томский', 'магазин', 'появиться', 'яйцо', 'по', '40', 'руб', 'за', 'десяток', 'почему', 'цена', 'снижаться']
Отдых и морковь дороже, гаджеты дешевле: как изменились цены в Томской области;отдых и морковь дороже гаджеты дешевле как изменились цены в томской области;['отдых', 'и', 'морковь', 'дороже', 'гаджеты', 'дешевле', 'как', 'изменились', 'цены', 'в', 'томской', 'области'];['отдых', 'и', 'морковь', 'дорогой', 'гаджет', 'дешёвый', 'как', 'измениться', 'цена', 'в', 'томский', 'область']
Дефицит бюджета Томской области за полгода превысил годовой план;дефицит бюджета томской области за полгода превысил годовой план;['дефицит', 'бюджета', 'томской', 'области', 'за', 'полгода', 'превысил', 'годовой', 'план'];['дефицит', 'бюджет', 'томский', 'область', 'за', 'полгода', 'превысить', 'годовой', 'план']
Цена на картофель в Томске стала самой высокой по Сибири;цена на картофель в томске стала самой высокой по сибири;['цена', 'на', 'картофель', 'в', 'томске', 'стала', 'самой', 'высокой', 'по', 'сибири'];['цена', 'на', 'картофель', 'в', 'томск', 'стать', 'самой', 'высокий', 'по', 'сибирь']
В России планируют повысить госпошлины для автовладельцев;в россии планируют повысить госпошлины для автовладельцев;['в', 'россии', 'планируют', 'повысить', 'госпошлины', 'для', 'автовладельцев'];['в', 'россия', 'планировать', 'повысить', 'госпошлина', 'для', 'автовладелец']
Томский холдинг KDV вошел в топ-10 крупнейших компаний пищевой отрасли РФ;томский холдинг вошел в топ 10 крупнейших компаний пищевой отрасли рф;['томский', 'холдинг', 'вошел', 'в', 'топ', '10', 'крупнейших', 'компаний', 'пищевой', 'отрасли', 'рф'];['томский', 'холдинг', 'войти', 'в', 'топ', '10', 'крупный', 'компания', 'пищевой', 'отрасль', 'рф']
Перевозчики: треть таксопарков в крупных городах рискует закрыться до конца 2026г;перевозчики треть таксопарков в крупных городах рискует закрыться до конца 2026г;['перевозчики', 'треть', 'таксопарков', 'в', 'крупных', 'городах', 'рискует', 'закрыться', 'до', 'конца', '2026', 'г'];['перевозчик', 'треть', 'таксопарков', 'в', 'крупный', 'город', 'рисковать', 'закрыться', 'до', 'конец', '2026', 'г']
Регулирование цен на хлеб приведет к исчезновению некоторых видов изделий — эксперт;регулирование цен на хлеб приведет к исчезновению некоторых видов изделий эксперт;['регулирование', 'цен', 'на', 'хлеб', 'приведет', 'к', 'исчезновению', 'некоторых', 'видов', 'изделий', 'эксперт'];['регулирование', 'цена', 'на', 'хлеб', 'привести', 'к', 'исчезновение', 'некоторый', 'вид', 'изделие', 'эксперт']
С 1 июля — в каждый дом: Томскую область ждет беспрецедентное повышение тарифов ЖКХ;с 1 июля в каждый дом томскую область ждет беспрецедентное повышение тарифов жкх;['с', '1', 'июля', 'в', 'каждый', 'дом', 'томскую', 'область', 'ждет', 'беспрецедентное', 'повышение', 'тарифов', 'жкх'];['с', '1', 'июль', 'в', 'каждый', 'дом', 'томский', 'область', 'ждать', 'беспрецедентный', 'повышение', 'тариф', 'жкх']
Низкий спрос на китайские автомобили и снижение продаж одежды: томичи показали сдержанную потребительскую активность;низкий спрос на китайские автомобили и снижение продаж одежды томичи показали сдержанную потребительскую активность;['низкий', 'спрос', 'на', 'китайские', 'автомобили', 'и', 'снижение', 'продаж', 'одежды', 'томичи', 'показали', 'сдержанную', 'потребительскую', 'активность'];['низкий', 'спрос', 'на', 'китайский', 'автомобиль', 'и', 'снижение', 'продажа', 'одежда', 'томич', 'показать', 'сдержанный', 'потребительский', 'активность']
Число взятых ипотечных кредитов в Томской области упало на 47%;число взятых ипотечных кредитов в томской области упало на 47;['число', 'взятых', 'ипотечных', 'кредитов', 'в', 'томской', 'области', 'упало', 'на', '47'];['число', 'взять', 'ипотечный', 'кредит', 'в', 'томский', 'область', 'упасть', 'на', '47']
ЦБ отметил заметный рост цен на лекарства в Томской области. Увеличилась стоимость и на медуслуги;цб отметил заметный рост цен на лекарства в томской области увеличилась стоимость и на медуслуги;['цб', 'отметил', 'заметный', 'рост', 'цен', 'на', 'лекарства', 'в', 'томской', 'области', 'увеличилась', 'стоимость', 'и', 'на', 'медуслуги'];['цб', 'отметить', 'заметный', 'рост', 'цена', 'на', 'лекарство', 'в', 'томский', 'область', 'увеличиться', 'стоимость', 'и', 'на', 'медуслуги']
Томская область нарастила дефицит бюджета из-за выплат участникам СВО и обслуживания госдолга;томская область нарастила дефицит бюджета из за выплат участникам сво и обслуживания госдолга;['томская', 'область', 'нарастила', 'дефицит', 'бюджета', 'из', 'за', 'выплат', 'участникам', 'сво', 'и', 'обслуживания', 'госдолга'];['томский', 'область', 'нарастить', 'дефицит', 'бюджет', 'из', 'за', 'выплата', 'участник', 'сво', 'и', 'обслуживание', 'госдолг']
Губернатор: средняя зарплата в Томской области выросла на 15%;губернатор средняя зарплата в томской области выросла на 15;['губернатор', 'средняя', 'зарплата', 'в', 'томской', 'области', 'выросла', 'на', '15'];['губернатор', 'средний', 'зарплата', 'в', 'томский', 'область', 'вырасти', 'на', '15']
